"time_point","cluster","debt"
1,"Cluster 1",3634.91934833545
2,"Cluster 1",4505.48576013054
3,"Cluster 1",5054.70534881441
4,"Cluster 1",5538.1924623125
5,"Cluster 1",6137.71471940255
6,"Cluster 1",6804.6096578967
7,"Cluster 1",7445.5141067189
8,"Cluster 1",8007.46384846219
9,"Cluster 1",8536.52572913842
10,"Cluster 1",9093.42417601882
11,"Cluster 1",9709.9902577707
12,"Cluster 1",10361.9398424669
13,"Cluster 1",11018.7488173822
14,"Cluster 1",11662.3309238754
15,"Cluster 1",12293.8785771354
16,"Cluster 1",12916.1627695982
17,"Cluster 1",13529.1371180795
18,"Cluster 1",14129.2521938415
19,"Cluster 1",14712.9676121743
20,"Cluster 1",15281.9875467245
21,"Cluster 1",15843.2607294958
22,"Cluster 1",16404.4897770611
23,"Cluster 1",16981.7895375533
24,"Cluster 1",17598.0405193712
25,"Cluster 1",18272.3641358373
26,"Cluster 1",18977.9545044532
27,"Cluster 1",19658.3752292875
28,"Cluster 1",20266.0181137156
29,"Cluster 1",20834.4112456079
30,"Cluster 1",21438.85926783
31,"Cluster 1",22138.2354600323
32,"Cluster 1",22879.8821055123
33,"Cluster 1",23565.6432832791
34,"Cluster 1",24127.8392287915
35,"Cluster 1",24656.165653159
36,"Cluster 1",25290.7529332957
1,"Cluster 2",4206.51825883763
2,"Cluster 2",3843.76323617269
3,"Cluster 2",4604.5284047997
4,"Cluster 2",5144.41390724888
5,"Cluster 2",4648.3868424195
6,"Cluster 2",3953.24198017919
7,"Cluster 2",4215.2742405879
8,"Cluster 2",5984.25922801662
9,"Cluster 2",8323.19510926249
10,"Cluster 2",10075.4180133829
11,"Cluster 2",10565.9381807823
12,"Cluster 2",10055.2486301016
13,"Cluster 2",8911.48577053878
14,"Cluster 2",7512.52944155392
15,"Cluster 2",6251.36179951332
16,"Cluster 2",5515.66741071017
17,"Cluster 2",5460.24044656413
18,"Cluster 2",5950.30571600439
19,"Cluster 2",6834.70545142148
20,"Cluster 2",8001.81444561006
21,"Cluster 2",9379.54005176887
22,"Cluster 2",10877.6215398347
23,"Cluster 2",12087.6659152381
24,"Cluster 2",12345.4176568443
25,"Cluster 2",11078.4521168371
26,"Cluster 2",8866.12967910148
27,"Cluster 2",7030.89784474902
28,"Cluster 2",6736.55289844104
29,"Cluster 2",7658.24444305056
30,"Cluster 2",8704.62740699789
31,"Cluster 2",8990.02450937695
32,"Cluster 2",9038.15080610779
33,"Cluster 2",9947.67201759185
34,"Cluster 2",12450.0962929568
35,"Cluster 2",15380.5642961652
36,"Cluster 2",16966.4812104014
1,"Cluster 3",3569.88185633123
2,"Cluster 3",4379.52846746595
3,"Cluster 3",4972.07407831219
4,"Cluster 3",5477.79348563424
5,"Cluster 3",5999.97598903722
6,"Cluster 3",6557.70580054757
7,"Cluster 3",7153.66675704829
8,"Cluster 3",7783.07233332357
9,"Cluster 3",8422.82370060564
10,"Cluster 3",9047.19007043075
11,"Cluster 3",9645.27508494195
12,"Cluster 3",10234.9930572954
13,"Cluster 3",10837.3170388005
14,"Cluster 3",11458.1346378683
15,"Cluster 3",12079.951026417
16,"Cluster 3",12683.8038317857
17,"Cluster 3",13269.9306842926
18,"Cluster 3",13862.441957593
19,"Cluster 3",14485.5463570392
20,"Cluster 3",15131.3908942106
21,"Cluster 3",15760.0608869145
22,"Cluster 3",16333.6561499812
23,"Cluster 3",16868.8023003125
24,"Cluster 3",17425.9781285918
25,"Cluster 3",18059.8722999273
26,"Cluster 3",18743.4231737229
27,"Cluster 3",19396.8269766704
28,"Cluster 3",19952.3550823088
29,"Cluster 3",20455.0282294465
30,"Cluster 3",21007.9210853924
31,"Cluster 3",21691.2322199214
32,"Cluster 3",22429.8902988297
33,"Cluster 3",23085.4828357488
34,"Cluster 3",23568.1256251181
35,"Cluster 3",24038.3909752604
36,"Cluster 3",24737.1158642258
1,"Cluster 4",5049.70115099778
2,"Cluster 4",5190.03136262466
3,"Cluster 4",5350.88827954437
4,"Cluster 4",5464.51251378901
5,"Cluster 4",5487.54874075411
6,"Cluster 4",5452.79166118681
7,"Cluster 4",5407.78702833701
8,"Cluster 4",5379.55970298646
9,"Cluster 4",5344.83111924718
10,"Cluster 4",5272.92602938906
11,"Cluster 4",5153.74147505334
12,"Cluster 4",5017.12894418108
13,"Cluster 4",4897.21233636017
14,"Cluster 4",4809.0295988993
15,"Cluster 4",4738.03545307444
16,"Cluster 4",4667.63960845652
17,"Cluster 4",4598.89607594932
18,"Cluster 4",4554.79729415059
19,"Cluster 4",4558.77555431334
20,"Cluster 4",4612.83752145951
21,"Cluster 4",4697.56423437997
22,"Cluster 4",4793.44936398787
23,"Cluster 4",4894.49101744914
24,"Cluster 4",5005.54844229479
25,"Cluster 4",5130.31675906663
26,"Cluster 4",5255.38172533759
27,"Cluster 4",5356.29079999097
28,"Cluster 4",5411.28836046464
29,"Cluster 4",5423.69319889501
30,"Cluster 4",5409.73476349733
31,"Cluster 4",5383.54677124069
32,"Cluster 4",5344.62117858315
33,"Cluster 4",5286.4769494277
34,"Cluster 4",5204.94719488999
35,"Cluster 4",5107.85321485556
36,"Cluster 4",5006.85820574247
