"time_point","year","month","mean"
1,1,1,4186.74721662762
2,1,2,4511.85029791926
3,1,3,5008.96203289313
4,1,4,5401.39414384979
5,1,5,5532.09318583476
6,1,6,5617.31221661754
7,1,7,5945.46261542365
8,1,8,6651.8008125917
9,1,9,7496.15031065793
10,1,10,8182.90124801508
11,1,11,8542.24741531024
12,1,12,8648.71201046119
13,2,1,8604.81104995414
14,2,2,8508.31630361972
15,2,3,8449.64595897243
16,2,4,8517.19710273591
17,2,5,8750.34599716912
18,2,6,9127.51779103968
19,2,7,9623.1680889917
20,2,8,10208.0861746206
21,2,9,10849.3950104731
22,2,10,11510.2734488256
23,2,11,12093.356095965
24,2,12,12452.583962852
25,3,1,12462.4861840251
26,3,2,12252.9627940629
27,3,3,12118.6692469248
28,3,4,12319.876217451
29,3,5,12793.6797452123
30,3,6,13310.7753128965
31,3,7,13684.0468643613
32,3,8,14015.9896374729
33,3,9,14527.2435496027
34,3,10,15364.8937162503
35,3,11,16296.0700621635
36,3,12,16966.1369511785
