"time_point","mean","mean.1","mean.2"
1,4186.74721662762,5264.30862594596,3109.18580730928
2,4511.85029791926,5348.15107894651,3675.54951689202
3,5008.96203289313,5608.91218672841,4409.01187905784
4,5401.39414384979,6008.03602029835,4794.75226740122
5,5532.09318583476,6317.18275072005,4747.00362094948
6,5617.31221661754,6824.07079438971,4410.55363884537
7,5945.46261542365,7345.2793252008,4545.6459056465
8,6651.8008125917,7878.35630652174,5425.24531866166
9,7496.15031065793,9001.967556075,5990.33306524085
10,8182.90124801508,10221.3216382276,6144.48085780259
11,8542.24741531024,10850.4519815604,6234.04284906009
12,8648.71201046119,11092.7777680208,6204.64625290161
13,8604.81104995414,11225.1234988652,5984.49860104304
14,8508.31630361972,11460.9968418179,5555.63576542149
15,8449.64595897243,11892.3095270404,5006.98239090448
16,8517.19710273591,12415.4390187949,4618.95518667696
17,8750.34599716912,12966.350257635,4534.34173670329
18,9127.51779103968,13567.5797868712,4687.45579520814
19,9623.1680889917,14209.2036529252,5037.13252505815
20,10208.0861746206,14903.9375920327,5512.23475720852
21,10849.3950104731,15671.6370898717,6027.15293107441
22,11510.2734488256,16467.2985719671,6553.2483256841
23,12093.356095965,17221.6544229168,6965.05776901317
24,12452.583962852,17791.141753851,7114.02617185298
25,12462.4861840251,18075.4902206727,6849.48214737747
26,12252.9627940629,18365.8701384206,6140.05544970522
27,12118.6692469248,18838.8286173011,5398.50987654862
28,12319.876217451,19364.7943428753,5274.95809202661
29,12793.6797452123,19919.6680941136,5667.69139631099
30,13310.7753128965,20551.4006852298,6070.1499405631
31,13684.0468643613,21220.7356466784,6147.35808204419
32,14015.9896374729,21921.3488269303,6110.63044801548
33,14527.2435496027,22643.4722074415,6411.014891764
34,15364.8937162503,23466.2713830706,7263.51604943005
35,16296.0700621635,24497.6797347123,8094.4603896147
36,16966.1369511785,25496.1974670003,8436.07643535671
